id,sampleday,size.cat,blankrun,time.in.oven,time.out.oven,dat.filter,dat.count,observer,red.fib,yell.fib,green.fib,turq.fib,blu.fib,purp.fib,gray.fib,clear.fib,pink.fib,brown.fib,orang.fib,black.fib,red.frag,yell.frag,green.frag,turq.frag,blu.frag,purp.frag,gray.frag,clear.frag,pink.frag,brown.frag,orang.frag,black.frag,whit.spher,clear.spher
"MControl1 (0,1)",1,twentyto50,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl1 (0,1)",1,fiftyto100,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl1 (0,1)",1,onehundredto500,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl1 (0,1)",1,fivehundredto1000,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl1 (0,1)",1,onethousandto5000,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl2 (0,1)",1,twentyto50,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl2 (0,1)",1,fiftyto100,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl2 (0,1)",1,onehundredto500,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl2 (0,1)",1,fivehundredto1000,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl2 (0,1)",1,onethousandto5000,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl3 (0,1)",1,twentyto50,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MControl3 (0,1)",1,fiftyto100,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl3 (0,1)",1,onehundredto500,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl3 (0,1)",1,fivehundredto1000,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MControl3 (0,1)",1,onethousandto5000,1,2016-11-05/ 17:03,2016-11-10/18:00,11-17-2016,11-24-2016,GC,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control1,3,twentyto50,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control1,3,fiftyto100,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,GC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control1,3,onehundredto500,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,GC,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control1,3,fivehundredto1000,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,GC,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control1,3,onethousandto5000,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,GC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control2,3,twentyto50,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control2,3,fiftyto100,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control2,3,onehundredto500,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control2,3,fivehundredto1000,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control2,3,onethousandto5000,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control3,3,twentyto50,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control3,3,fiftyto100,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control3,3,onehundredto500,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control3,3,fivehundredto1000,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS3Control3,3,onethousandto5000,2,2016-11-10/16:23,2016-2216/08:30,11-17-2016,11-17-2016,MD,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,5,twentyto50,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,5,fiftyto100,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,5,onehundredto500,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,5,fivehundredto1000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,5,onethousandto5000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,5,twentyto50,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,5,fiftyto100,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,5,onehundredto500,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,5,fivehundredto1000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,5,onethousandto5000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,5,twentyto50,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,5,fiftyto100,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,5,onehundredto500,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,5,fivehundredto1000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,5,onethousandto5000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,10,twentyto50,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,10,fiftyto100,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,10,onehundredto500,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,10,fivehundredto1000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control1,10,onethousandto5000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,10,twentyto50,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,10,fiftyto100,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,10,onehundredto500,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,10,fivehundredto1000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control2,10,onethousandto5000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,10,twentyto50,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,10,fiftyto100,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,10,onehundredto500,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,10,fivehundredto1000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS5-10Control3,10,onethousandto5000,3,2016-11-22/13:15,2016-11-29/08:30,2012-06-16,02-13-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
